买入日期,买入价格,卖出日期,卖出价格,收益率(%)
2023-02-06,4090.97,2023-02-09,4126.73,0.87
2023-03-06,4113.12,2023-03-08,4030.08,-2.02
2023-03-29,4010.15,2023-04-25,3958.71,-1.28
2023-06-15,3929.43,2023-06-29,3818.02,-2.84
2023-07-05,3872.68,2023-07-07,3821.87,-1.31
2023-07-17,3871.04,2023-07-21,3818.09,-1.37
2023-07-27,3906.25,2023-08-15,3842.69,-1.63
2023-09-06,3815.84,2023-09-12,3756.84,-1.55
2023-11-06,3636.24,2023-11-22,3540.88,-2.62
2024-01-02,3389.74,2024-01-08,3282.77,-3.16
2024-01-29,3307.26,2024-02-01,3214.49,-2.81
2024-02-08,3368.29,2024-03-27,3499.29,3.89
2024-04-08,3539.95,2024-04-10,3501.21,-1.09
2024-04-19,3545.2,2024-04-24,3518.1,-0.76
2024-04-29,3627.53,2024-05-28,3605.56,-0.61
2024-07-16,3501.78,2024-07-25,3395.87,-3.02
2024-09-25,3404.93,2024-10-31,3887.15,14.16
2024-11-05,4048.61,2024-11-20,3981.78,-1.65
2024-12-10,3999.64,2024-12-20,3923.81,-1.9
2024-12-24,3987.67,2025-01-02,3816.58,-4.29
2025-01-27,3820.9,2025-03-05,3898.67,2.04
2025-03-11,3945.36,2025-03-13,3907.67,-0.96
2025-03-14,4010.57,2025-03-26,3915.44,-2.37
2025-04-25,3790.78,2025-05-29,3854.84,1.69
2025-06-11,3898.52,2025-06-19,3839.25,-1.52
2025-06-25,3964.03,2025-10-20,4533.68,14.37
2025-10-21,4612.48,2025-10-22,4587.98,-0.53
2025-10-24,4665.34,2025-11-17,4593.45,-1.54
2025-12-08,4626.37,2026-01-26,4702.25,1.64
2026-02-12,4724.3,2026-03-04,4598.02,-2.67
2026-04-13,4650.8,2026-05-21,4778.32,2.74
2026-05-26,4952.8,2026-06-05,4812.1,-2.84
2026-06-18,4946.54,2026-07-07,4787.47,-3.22
2026-08-10,4706.72,2026-08-24,4558.57,-3.15
