买入日期,买入价格,卖出日期,卖出价格,收益率(%)
2023-02-20,1876.87,2023-02-27,1808.6,-3.64
2023-03-29,1791.79,2023-04-12,1692.41,-5.55
2023-05-05,1751.75,2023-05-09,1720.28,-1.8
2023-06-14,1728.61,2023-07-06,1701.28,-1.58
2023-07-17,1731.7,2023-08-16,1818.18,4.99
2023-08-31,1848.85,2023-09-13,1818.09,-1.66
2023-11-02,1781.28,2023-11-28,1767.27,-0.79
2023-12-29,1727.73,2024-01-08,1642.35,-4.94
2024-02-07,1712.7,2024-03-08,1669.76,-2.51
2024-03-13,1729.18,2024-03-28,1699.94,-1.69
2024-04-01,1723.05,2024-04-08,1664.99,-3.37
2024-04-25,1694.73,2024-05-17,1713.28,1.09
2024-07-17,1502.9,2024-07-26,1420.77,-5.47
2024-08-15,1428.32,2024-08-27,1402.67,-1.8
2024-09-27,1630.83,2024-10-28,1563.44,-4.13
2024-11-07,1650.79,2024-11-19,1540.38,-6.69
2024-12-12,1567.37,2024-12-26,1526.26,-2.62
2025-02-14,1476.48,2025-04-02,1547.47,4.81
2025-04-21,1552.55,2025-04-24,1550.7,-0.12
2025-05-08,1579.77,2025-05-26,1548.95,-1.95
2025-07-14,1425.02,2025-07-17,1414.93,-0.71
2025-07-18,1438.44,2025-08-01,1415.58,-1.59
2025-08-21,1449.7,2025-09-22,1451.9,0.15
2025-10-20,1459.39,2025-10-29,1430.47,-1.98
2025-11-12,1466.62,2025-11-27,1445.85,-1.42
2026-01-08,1413.71,2026-01-15,1387.5,-1.85
2026-02-03,1476.39,2026-03-03,1424.76,-3.5
2026-03-18,1470.27,2026-03-25,1408.86,-4.18
2026-04-01,1460.9,2026-04-21,1410.6,-3.44
2026-07-15,1252.31,2026-08-19,1306.57,4.33
